timestamp,dataset,channel,window,sensor_height_m,reference_height_m,wind_profile_alpha,wind_mean_roof_m_s,wind_median_roof_m_s,wind_max_raw_roof_m_s,wind_std_roof_m_s,wind_3s_gust_roof_m_s,wind_mean_10m_m_s,wind_median_10m_m_s,wind_max_raw_10m_m_s,wind_std_10m_m_s,wind_3s_gust_10m_m_s,wind_mean_roof_mph,wind_3s_gust_roof_mph,wind_max_raw_roof_mph,wind_mean_10m_mph,wind_3s_gust_10m_mph,wind_max_raw_10m_mph,n_samples
2023-03-04 03:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,3.33707991180715,2.583058,13.23612,2.408526812441831,9.85629093,2.3621263573923077,1.8283977446524111,9.36908577196047,1.7048571854768668,6.9766997516316,7.464835164207109,22.04789488636361,29.608357193987082,5.283926175269115,15.606432873191643,20.95804798666889,180000
2023-03-04 03:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,4.735706888048606,4.5443795,15.72037,2.9630140146461486,12.3753778,3.352133708744813,3.2167040881949425,11.12754303352903,2.097346688209287,8.759816023775508,10.593474606407929,27.682931728704336,35.16546617752323,7.498509548910185,19.595150375303103,24.891604853098194,180000
2023-03-04 04:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,2.6995408692148444,1.987884,14.63085,2.1039619917345136,9.368880753333332,1.9108492480112453,1.4071084049334601,10.35633467864358,1.489273318880869,6.63169020568336,6.038700942230766,20.957589373061296,32.72827934860412,4.274448031521214,14.834668498754816,23.166460895319364,180000
2023-03-04 04:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,3.2010885395882553,2.66309,11.96046,2.224195282451921,10.180702023333334,2.265865910179271,1.8850477805014016,8.466119649270507,1.574379529264006,7.206331649711662,7.160631128284385,22.773581834585993,26.754787043664965,5.068597687408886,16.120104799820272,18.938170296328064,180000
2023-03-04 05:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,3.4171147865308558,2.9255105,11.45575,2.3177173141696246,9.028091383333333,2.4187784280923705,2.070800113724488,8.10886455639086,1.640578380342054,6.390465070394289,7.643868080106595,20.195265263361943,25.62578292770219,5.410653248238117,14.295063239070961,18.139013413544316,180000
2023-03-04 05:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,2.8541083751585723,2.361228,11.07547,1.935800971042902,9.067698906666665,2.020258668653004,1.6713770847615979,7.8396862822923215,1.3702418333428013,6.4185009512509845,6.384458605848625,20.283864769744664,24.775120794559744,4.519189935247409,14.357777718439015,17.536878763180727,180000
2023-03-04 06:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,2.5237891468099165,1.985288,12.0938,1.8266812655323577,9.694151683333335,1.7864447426288856,1.4052708462936163,8.560503343044303,1.2930022887980739,6.861930732536801,5.645555535992112,21.685199721128587,27.053060128847502,3.9961630785363362,15.349701889175003,19.149300606308817,180000
2023-03-04 06:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,2.5459162781995945,2.1462874999999997,11.83698,1.756114883038198,8.26682871,1.8021072624517138,1.5192331044737135,8.378715280685025,1.243052417521238,5.851611140280939,5.6950525192367385,18.492369161596258,26.478570150322092,4.031199137553042,13.089681326684262,18.7426522921551,180000
2023-03-04 07:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,2.0939669890511055,1.59989,9.457783,1.556469468060421,7.2517694000000015,1.482198433081116,1.1324698352464195,6.694618977433691,1.1017349455652996,5.133109212297739,4.684070752172296,16.221746152469564,21.156458035075136,3.3155834669853133,11.482438288067584,14.975436152097538,180000
2023-03-04 07:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.7282991588239942,1.257447,7.871299,1.3240145647382247,5.8090199,1.2233632710060907,0.8900741906762993,5.5716384762110565,0.9371935295507549,4.111870071752541,3.866095111900484,12.994407435576221,17.607594398711505,2.7365856992799062,9.197991391715588,12.463400313643186,180000
