,timestamp,dataset,channel,window,sensor_height_m,reference_height_m,wind_profile_alpha,wind_mean_roof_m_s,wind_median_roof_m_s,wind_max_raw_roof_m_s,wind_std_roof_m_s,wind_3s_gust_roof_m_s,wind_mean_10m_m_s,wind_median_10m_m_s,wind_max_raw_10m_m_s,wind_std_10m_m_s,wind_3s_gust_10m_m_s,wind_mean_roof_mph,wind_3s_gust_roof_mph,wind_max_raw_roof_mph,wind_mean_10m_mph,wind_3s_gust_10m_mph,wind_max_raw_10m_mph,n_samples
29,12/27/2025 14:00,27.12.2025,31S4S,30min,118,10,0.14,0.427192331,0.3921103,1.567236,0.309963378,1.29744078,0.302384807,0.277552261,1.109355952,0.219405194,0.91838348,0.955602028,2.902292368,3.505807087,0.676415548,2.054365337,2.481558591,180000
30,12/27/2025 14:30,27.12.2025,31S4S,30min,118,10,0.14,0.623938674,0.5913177,2.108228,0.41162132,1.795380963,0.441650193,0.418559687,1.49229298,0.291362987,1.270846611,1.395711063,4.016152835,4.715971725,0.987943345,2.842802905,3.338164325,180000
31,12/27/2025 15:00,27.12.2025,31S4S,30min,118,10,0.14,0.772203919,0.75474645,2.235767,0.417670878,1.863624627,0.546598607,0.534241472,1.582570481,0.29564512,1.319152363,1.727370971,4.168809562,5.001268343,1.22270626,2.950859795,3.540109343,180000
32,12/27/2025 15:30,27.12.2025,31S4S,30min,118,10,0.14,0.510591629,0.4725684,1.898692,0.320738412,1.819998277,0.361418359,0.334503908,1.343974534,0.227032219,1.288271787,1.142160946,4.071220197,4.247253042,0.808469844,2.881781913,3.00638541,180000
33,12/27/2025 16:00,27.12.2025,31S4S,30min,118,10,0.14,0.513741391,0.4630743,1.975701,0.34603257,1.696123627,0.363647894,0.327783583,1.398484762,0.244936494,1.200588068,1.149206763,3.794120496,4.419517269,0.813457171,2.685639021,3.128321318,180000
34,12/27/2025 16:30,27.12.2025,31S4S,30min,118,10,0.14,0.602156468,0.5523218,2.191968,0.365974324,1.908913763,0.426231826,0.390956739,1.551567695,0.259052112,1.35120993,1.346985657,4.270118476,4.90329277,0.953453441,3.022570531,3.470758087,180000
35,12/27/2025 17:00,27.12.2025,31S4S,30min,118,10,0.14,0.467210667,0.4472572,1.459353,0.288793715,1.16041618,0.330711479,0.31658757,1.0329918,0.20442041,0.821391671,1.045120498,2.595777067,3.264479689,0.739780509,1.837400838,2.310736848,180000
36,12/27/2025 17:30,27.12.2025,31S4S,30min,118,10,0.14,0.462834803,0.427787,1.61873,0.299475502,1.286576255,0.327614057,0.302805739,1.145805584,0.211981431,0.91069311,1.035331969,2.877989117,3.620995884,0.732851774,2.037162468,2.563094095,180000
37,12/27/2025 18:00,27.12.2025,31S4S,30min,118,10,0.14,0.42675392,0.3958745,1.693588,0.289126645,1.477148803,0.302074481,0.280216721,1.198793244,0.204656073,1.045588423,0.954621331,3.304287767,3.788448461,0.675721369,2.33891469,2.681624114,180000
38,12/27/2025 18:30,27.12.2025,31S4S,30min,118,10,0.14,0.488925953,0.4478135,1.891108,0.335871925,1.71685143,0.346082476,0.316981343,1.338606257,0.23774436,1.215260084,1.093696207,3.840487272,4.230288117,0.774164451,2.718459387,2.994376918,180000
39,12/27/2025 19:00,27.12.2025,31S4S,30min,118,10,0.14,0.434012975,0.4022904,1.769336,0.283564809,1.567895117,0.307212747,0.284758167,1.252410884,0.20071917,1.109822503,0.970859374,3.507281489,3.957891911,0.687215343,2.482602235,2.801563358,180000
40,12/27/2025 19:30,27.12.2025,31S4S,30min,118,10,0.14,0.411174346,0.3925646,1.421451,0.270770892,1.362841257,0.2910466,0.277873834,1.006163161,0.191663094,0.964676705,0.919770818,3.048589067,3.179695329,0.651052702,2.157920331,2.250722891,180000
41,12/27/2025 20:00,27.12.2025,31S4S,30min,118,10,0.14,0.647027553,0.5874051,2.542171,0.414633257,2.153129403,0.457993478,0.415790184,1.799456196,0.293494963,1.524076093,1.447359415,4.816413304,5.686674571,1.024502233,3.409261125,4.025268871,180000
42,12/27/2025 20:30,27.12.2025,31S4S,30min,118,10,0.14,0.819338266,0.755312,2.720091,0.522212339,2.51292465,0.579962292,0.534641792,1.9253955,0.369643989,1.778754392,1.832807503,5.621252349,6.084670276,1.297338699,3.978960254,4.306987071,180000
43,12/27/2025 21:00,27.12.2025,31S4S,30min,118,10,0.14,0.690100837,0.612568,2.703514,0.467569164,2.42077639,0.488482572,0.433601549,1.913661598,0.330965238,1.713527955,1.543711609,5.415122562,6.047588583,1.092704393,3.833052869,4.280739079,180000
44,12/27/2025 21:30,27.12.2025,31S4S,30min,118,10,0.14,0.524689135,0.4740518,2.306619,0.359561651,1.81786131,0.37139717,0.335553922,1.632722524,0.25451295,1.286759151,1.173696168,4.066439938,5.159759753,0.830791808,2.878398244,3.652296269,180000
45,12/27/2025 22:00,27.12.2025,31S4S,30min,118,10,0.14,0.404755599,0.3423409,1.757524,0.31783769,1.58137674,0.286503139,0.242323374,1.24404985,0.224978965,1.119365367,0.905412489,3.537439021,3.93146922,0.640889269,2.503949012,2.782860259,180000
46,12/27/2025 22:30,27.12.2025,31S4S,30min,118,10,0.14,0.513365022,0.4586611,2.058088,0.372829491,1.752458447,0.363381484,0.324659733,1.456801767,0.263904489,1.240464237,1.148364848,3.9201379,4.603811739,0.812861228,2.774839471,3.258772742,180000
47,12/27/2025 23:00,27.12.2025,31S4S,30min,118,10,0.14,0.331830571,0.2607517,1.829007,0.278483236,1.65896268,0.234883718,0.184571086,1.294648542,0.197122217,1.174283978,0.742283846,3.710993826,4.091372137,0.525419913,2.626798447,2.896046309,180000
48,12/27/2025 23:30,27.12.2025,31S4S,30min,118,10,0.14,0.446191942,0.3973765,1.806978,0.316873586,1.56251822,0.315833535,0.2812799,1.279055484,0.224296531,1.106016508,0.998102948,3.495253713,4.042094667,0.706499497,2.474088467,2.861165631,180000
49,12/28/2025 0:00,27.12.2025,31S4S,30min,118,10,0.14,0.484228968,0.423244,2.23191,0.361604264,1.9968255,0.342757752,0.299590011,1.579840333,0.255958798,1.413437577,1.083189351,4.46677143,4.99264048,0.766727254,3.161769812,3.534002176,180000
50,12/28/2025 0:30,27.12.2025,31S4S,30min,118,10,0.14,0.660877063,0.5858846,3.397411,0.450795875,2.87553209,0.467796748,0.414713909,2.404831254,0.319092394,2.03542328,1.478339887,6.432382091,7.599791965,1.046431522,4.553112206,5.379454309,180000
51,12/28/2025 1:00,27.12.2025,31S4S,30min,118,10,0.14,1.040363648,0.9410573,3.50943,0.654630184,2.967603947,0.736413409,0.666120174,2.484123042,0.463374942,2.100595636,2.327227202,6.638340969,7.850371331,1.647309881,4.698898614,5.556824987,180000
52,12/28/2025 1:30,27.12.2025,31S4S,30min,118,10,0.14,1.081373241,0.97768895,4.056318,0.682182743,3.6933132,0.765441734,0.692049606,2.871233508,0.482877809,2.614283351,2.418963048,8.261706335,9.073724946,1.712244395,5.847985307,6.422766437,180000
53,12/28/2025 2:00,27.12.2025,31S4S,30min,118,10,0.14,1.956882332,1.864499,5.660232,0.919101249,5.03624009,1.385164112,1.319771281,4.006551701,0.650578753,3.564863825,4.377421107,11.26574823,12.66157838,3.098523873,7.974373266,8.962400905,180000
54,12/28/2025 2:30,27.12.2025,31S4S,30min,118,10,0.14,1.905743923,1.808879,5.611112,0.952007179,5.150429573,1.348966183,1.280401092,3.971782486,0.673870962,3.645691973,4.263027745,11.52118283,12.55170007,3.017551412,8.155180684,8.884624388,180000
55,12/28/2025 3:00,27.12.2025,31S4S,30min,118,10,0.14,1.925585702,1.863164,5.423512,0.871831726,4.285985907,1.363011034,1.318826312,3.838991269,0.617119384,3.03380217,4.307412541,9.587477422,12.13205082,3.048968848,6.786422177,8.587578894,180000
56,12/28/2025 3:30,27.12.2025,31S4S,30min,118,10,0.14,2.779423371,2.798028,5.83461,0.697519656,5.58110066,1.967393463,1.980562606,4.129983827,0.493733925,3.95053919,6.21739301,12.48456662,13.05165086,4.400933838,8.837104488,9.238510709,179995
57,12/28/2025 4:00,27.12.2025,31S4S,30min,118,10,0.14,3.286459187,3.265691,6.6961,0.888375263,5.808976563,2.326294867,2.311594265,4.7397829,0.6288296,4.111839396,7.351599828,12.99431049,14.97874911,5.203773413,9.197922773,10.60259239,180000
58,12/28/2025 4:30,27.12.2025,31S4S,30min,118,10,0.14,3.131651659,3.070285,6.94504,1.117872549,6.055845423,2.216715548,2.17327763,4.915993165,0.791277489,4.286583621,7.00530525,13.54654041,15.53561203,4.958651459,9.58881447,10.99676352,180000
